ticker,company_name,sector,domain,confidence,resolves,sources,cert_org_names,rdap_org,verdict
TKNO,"Alpha Teknova, Inc.",,teknova.com,0.9,True,ct_org_match,ALPHA Teknova INC,,
TLF,TANDY LEATHER FACTORY INC,,leatherfactory.com,0.9,True,ct_org_match,"TANDY LEATHER FACTORY, INC|Tandy Leather Factory, Inc",,
TRUP,"TRUPANION, INC.",,trupanion.com,0.9,True,ct_org_match|dns_guess,"Trupanion Managers USA, Inc.|Trupanion, Inc.",,
TSSI,"TSS, Inc.",,tss-tms.com,0.9,True,ct_org_match,TSS Inc,,
TTGT,"TechTarget, Inc.",,techtarget.com,0.9,True,ct_org_match|dns_guess,"TechTarget, Inc.",,
TX,Ternium S.A.,,ternium.com.ar,0.85,True,ct_org_match,TERNIUM ARGENTINA S.A.,,
UE,Urban Edge Properties,,uedge.com,0.9,True,ct_org_match,Urban Edge Properties,,
UEIC,UNIVERSAL ELECTRONICS INC,,uei.com,0.9,True,ct_org_match,"Universal Electronics, Inc.",,
UFI,UNIFI INC,,unifi.com,0.9,True,ct_org_match|dns_guess,"Unifi, Inc.",,
UVSP,UNIVEST FINANCIAL Corp,,univest.net,0.9,True,ct_org_match|dns_guess,Univest Financial Corp,,
VATE,INNOVATE Corp.,,innovatecorp.com,0.9,True,ct_org_match,INNOVATE Corp,,
VECO,VEECO INSTRUMENTS INC,,myveeco.com,0.9,True,ct_org_match,Veeco Instruments Inc.,,
VEON,VEON Ltd.,,veon.com,0.9,True,ct_org_match|dns_guess,VEON Ltd.,,
VERA,"Vera Therapeutics, Inc.",,veratx.com,0.9,True,ct_org_match,Vera Therapeutics Inc|Vera Therapeutics Inc.,,
VET,VERMILION ENERGY INC.,,vermilionenergy.com,0.9,True,ct_org_match|dns_guess,Vermilion Energy Inc,,
VIRC,VIRCO MFG CORPORATION,,virco.com,0.9,True,ct_org_match|dns_guess,Virco Mfg. Corporation,,
VIRT,"Virtu Financial, Inc.",,virtu.com,0.9,True,ct_org_match|dns_guess,"VIRTU FINANCIAL, INC.",,
VRA,"Vera Bradley, Inc.",,verabradley.com,0.85,True,ct_org_match|dns_guess,"Vera Bradley Designs Inc.|Vera Bradley Designs, Inc|Vera Bradley Designs, Inc.",,
VTGN,"Vistagen Therapeutics, Inc.",,vistagen.com,0.9,True,ct_org_match|dns_guess,"VISTAGEN THERAPEUTICS, INC.|VistaGen Therapeutics, Inc.|Vistagen Therapeutics, Inc.",,
VTR,Ventas,Real Estate,surtiventas.cl,0.85,True,ct_org_match,Surti Ventas S.A.,,
WAFD,WAFD INC,,wafdbank.com,0.9,True,ct_org_match,"WAFD, INC.",,
WAFDP,WAFD INC,,wafdbank.com,0.9,True,ct_org_match,"WAFD, INC.",,
WING,Wingstop Inc.,,wingstop.com,0.85,True,ct_org_match|dns_guess,WINGSTOP RESTAURANTS INC.,,
WIX,Wix.com Ltd.,,wix.com,0.9,True,ct_org_match|dns_guess,Wix.com Ltd.,,
WMK,WEIS MARKETS INC,,weismarkets.com,0.9,True,ct_org_match|dns_guess,"Weis Markets, Inc.",,
WYFI,"WhiteFiber, Inc.",,whitefiber.com,0.85,True,ct_org_match|dns_guess,"WhiteFiber HPC, Inc.",,
XPER,Xperi Inc.,,vewd.com,0.9,True,ct_org_match,XPERI INC.,,
YEXT,"Yext, Inc.",,yext.com,0.9,True,ct_org_match|dns_guess,"Yext, Inc.",,
